Day 6 | Day 5 | Name             | TS | W - L | Updated | Lifeforce
363   | 477   | Omega            | 7  | 3 - 3 | Yes     | 10,594,206
364   | 515   | StateFarm        | 10  | 3 - 3 | Yes     | 10,581,430
365   | 487   | Killhare         | 8  | 4 - 2 | Yes     | 10,569,297
366   | 298   | BookClub         | 9  | 3 - 3 | Yes     | 10,563,400
367   | 510   | FUNAlice         | 9  | 3 - 3 | Yes     | 10,549,331
368   | 244   | FoxTails         | 13  | 4 - 2 | Yes     | 10,538,220
369   | 506   | Armed            | 9  | 3 - 3 | Yes     | 10,531,102
370   | 392   | Hokuten-Knights  | 4  | 4 - 2 | Yes     | 10,526,121
371   | 481   | CULToSUNNY       | 3  | 4 - 2 | Yes     | 10,510,677
372   | 489   | 연린               | 12  | 3 - 3 | Yes     | 10,510,561
373   | 475   | Elysium          | 10  | 3 - 3 | Yes     | 10,497,458
374   | 442   | Drakengard       | 12  | 4 - 2 | Yes     | 10,494,650
375   | 264   | Lethaeus         | 6  | 4 - 2 | Yes     | 10,494,206
376   | 259   | Elegy            | 6  | 3 - 3 | Yes     | 10,488,713
377   | 254   | AllStars         | 4  | 3 - 3 | Yes     | 10,483,607
378   | 270   | Aussie           | 8  | 3 - 3 | Yes     | 10,459,921
379   | 246   | TheGuild         | 4  | 4 - 2 | Yes     | 10,458,757
380   | 366   | Nutella          | 12  | 3 - 3 | Yes     | 10,428,707
381   | 404   | Oracles          | 7  | 4 - 2 | Yes     | 10,424,037
382   | 554   | •ForeverHome•    | 12  | 3 - 3 | Yes     | 10,421,342
383   | 509   | ZODIAC           | 13  | 3 - 3 | Yes     | 10,412,121
384   | 267   | ZaWarudo         | 3  | 3 - 3 | Yes     | 10,404,297
385   | 522   | ChurchOfTamagod  | 11  | 4 - 2 | Yes     | 10,391,734
386   | 550   | Hysteria         | 4  | 3 - 3 | Yes     | 10,386,407
387   | 532   | Veritas          | 10  | 3 - 3 | Yes     | 10,380,363
388   | 512   | Oldworld         | 3  | 4 - 2 | Yes     | 10,377,386
389   | 291   | Valiance         | 6  | 3 - 3 | Yes     | 10,371,071
390   | 255   | ~Epiphany~       | 3  | 4 - 2 | Yes     | 10,369,794
391   | 533   | Virtuous         | 1  | 3 - 3 | Yes     | 10,350,890
392   | 436   | TeamPetty        | 5  | 4 - 2 | Yes     | 10,347,695
393   | 502   | Moonrise         | 7  | 3 - 3 | Yes     | 10,343,805
394   | 357   | hyouka           | 7  | 3 - 3 | Yes     | 10,337,469
395   | 284   | Odyssey          | 5  | 2 - 4 | Yes     | 10,336,786
396   | 287   | FuwaFuwa         | 11  | 3 - 3 | Yes     | 10,325,206
397   | 455   | Chonkers         | 7  | 4 - 2 | Yes     | 10,317,153
398   | 457   | Jelly            | 10  | 4 - 2 | Yes     | 10,313,785
399   | 466   | Astarea          | 13  | 4 - 2 | Yes     | 10,307,877
400   | 497   | 9Realms          | 6  | 3 - 3 | Yes     | 10,302,472
401   | 409   | Replicant        | 8  | 4 - 2 | Yes     | 10,272,635
402   | 480   | GrimmRevolution  | 9  | 3 - 3 | Yes     | 10,257,541
403   | 505   | Carriya          | 12  | 4 - 2 | Yes     | 10,250,341
404   | 482   | |Solo|           | 1  | 4 - 2 | Yes     | 10,229,697
405   | 276   | Monochrome       | 5  | 3 - 3 | Yes     | 10,222,003
406   | 384   | SV               | 13  | 3 - 3 | Yes     | 10,193,967
407   | 303   | YokoTako         | 8  | 2 - 4 | Yes     | 10,184,541
408   | 315   | Intoners         | 3  | 3 - 3 | Yes     | 10,176,881
409   | 367   | Hollows          | 4  | 3 - 3 | Yes     | 10,170,379
410   | 519   | Kokytus          | 8  | 3 - 3 | Yes     | 10,157,350
411   | 423   | Insomnia         | 11  | 4 - 2 | Yes     | 10,153,401
412   | 340   | Ragnarokr        | 10  | 2 - 4 | Yes     | 10,152,383
413   | 549   | Dai-Shocker      | 5  | 4 - 2 | Yes     | 10,148,572
414   | 538   | CoolKids         | 6  | 4 - 2 | Yes     | 10,146,161
415   | 485   | HailFuHua        | 9  | 4 - 2 | Yes     | 10,125,352
416   | 573   | Avalon           | 10  | 3 - 3 | Yes     | 10,123,179
417   | 296   | Drzkade          | 1  | 3 - 3 | Yes     | 10,121,537
418   | 551   | X-Buster         | 7  | 4 - 2 | Yes     | 10,093,217
419   | 470   | Maung            | 13  | 3 - 3 | Yes     | 10,068,963
420   | 544   | Bakery           | 7  | 3 - 3 | Yes     | 10,054,561
421   | 285   | TARDIS           | 4  | 3 - 3 | Yes     | 10,046,613
422   | 377   | Dissonance       | 4  | 3 - 3 | Yes     | 10,038,694
423   | 491   | Library          | 4  | 4 - 2 | Yes     | 10,023,096
424   | 323   | Affenbande       | 4  | 3 - 3 | Yes     | 10,019,106
425   | 356   | LuckyOrb         | 6  | 4 - 2 | Yes     | 9,990,060
426   | 314   | Asterisk         | 5  | 3 - 3 | Yes     | 9,989,772
427   | 537   | Thigh.Highs&GB   | 8  | 4 - 2 | Yes     | 9,986,534
428   | 327   | Doge             | 13  | 3 - 3 | Yes     | 9,980,059
429   | 526   | BlackRose        | 6  | 4 - 2 | Yes     | 9,960,575
430   | 566   | Peerless         | 11  | 3 - 3 | Yes     | 9,948,947
431   | 361   | Daijoubu         | 5  | 3 - 3 | Yes     | 9,945,539
432   | 300   | 7thElement       | 8  | 3 - 3 | Yes     | 9,943,581
433   | 483   | OrberLords       | 3  | 4 - 2 | Yes     | 9,924,143
434   | 389   | Sino             | 6  | 3 - 3 | Yes     | 9,917,393
435   | 571   | Eleusis          | 7  | 3 - 3 | Yes     | 9,897,926
436   | 577   | Ovan'$$Ble$$ing  | 13  | 3 - 3 | Yes     | 9,879,943
437   | 535   | Necronomicon     | 10  | 3 - 3 | Yes     | 9,868,106
438   | 601   | Unlucky          | 8  | 4 - 2 | Yes     | 9,847,483
439   | 324   | Refuwugees       | 10  | 3 - 3 | Yes     | 9,832,532
440   | 332   | SOX天国            | 9  | 3 - 3 | Yes     | 9,829,992
441   | 333   | Reroll-Yubi      | 10  | 3 - 3 | Yes     | 9,827,409
442   | 530   | AetherRoar       | 9  | 3 - 3 | Yes     | 9,822,167
443   | 406   | ♡DEBAUCHERY♥     | 1  | 3 - 3 | Yes     | 9,815,054
444   | 297   | Gullible         | 11  | 4 - 2 | Yes     | 9,809,934
445   | 581   | Cthulhu          | 11  | 3 - 3 | Yes     | 9,807,648
446   | 546   | LePilier         | 4  | 3 - 3 | Yes     | 9,799,916
447   | 341   | Lunatear         | 11  | 4 - 2 | Yes     | 9,786,822
448   | 635   | 쿠로가미             | 13  | 3 - 3 | Yes     | 9,782,956
449   | 385   | KampungRealtra   | 12  | 3 - 3 | Yes     | 9,774,438
450   | 471   | Synchronicity    | 5  | 4 - 2 | Yes     | 9,763,163
451   | 394   | FGOChile         | 8  | 3 - 3 | Yes     | 9,762,368
452   | 467   | Azur             | 3  | 3 - 3 | Yes     | 9,759,848
453   | 408   | SunTears         | 5  | 4 - 2 | Yes     | 9,754,751
454   | 312   | NoMercy          | 4  | 3 - 3 | Yes     | 9,737,981
455   | 390   | RedQueen         | 9  | 3 - 3 | Yes     | 9,736,319
456   | 352   | DârkSîn          | 10  | 3 - 3 | Yes     | 9,717,381
457   | 494   | Bellum           | 8  | 3 - 3 | Yes     | 9,709,540
458   | 382   | Legion           | 8  | 3 - 3 | Yes     | 9,694,864
459   | 293   | Holoslime        | 11  | 3 - 3 | Yes     | 9,692,113
460   | 344   | RavenPoe         | 9  | 3 - 3 | Yes     | 9,685,639
461   | 350   | SINoBEARS        | 3  | 3 - 3 | Yes     | 9,681,293
462   | 451   | NoNamed          | 12  | 3 - 3 | Yes     | 9,638,485
463   | 396   | Zeal             | 7  | 3 - 3 | Yes     | 9,627,385
464   | 399   | Cheshire         | 10  | 3 - 3 | Yes     | 9,623,526
465   | 555   | Lithium          | 5  | 3 - 3 | Yes     | 9,619,593
466   | 368   | Phantom          | 5  | 3 - 3 | Yes     | 9,611,151
467   | 574   | Niflheim         | 9  | 3 - 3 | Yes     | 9,610,892
468   | 602   | Navi             | 6  | 4 - 2 | Yes     | 9,609,722
469   | 373   | Royals           | 8  | 3 - 3 | Yes     | 9,601,591
470   | 354   | Roselia          | 13  | 3 - 3 | Yes     | 9,591,463
471   | 325   | Gateway          | 4  | 4 - 2 | Yes     | 9,590,138
472   | 358   | pepega           | 12  | 3 - 3 | Yes     | 9,588,148
473   | 311   | Abandoned        | 3  | 4 - 2 | Yes     | 9,560,717
474   | 595   | TheAvatars       | 5  | 4 - 2 | Yes     | 9,560,573
475   | 499   | Loliness         | 1  | 3 - 3 | Yes     | 9,556,813
476   | 513   | Lycoris          | 5  | 4 - 2 | Yes     | 9,546,170
477   | 326   | Lethargy         | 11  | 3 - 3 | Yes     | 9,521,552
478   | 586   | Ravana           | 3  | 4 - 2 | Yes     | 9,511,662
479   | 342   | Lunaris          | 8  | 3 - 3 | Yes     | 9,507,859
480   | 469   | Exile            | 12  | 3 - 3 | Yes     | 9,492,804
481   | 576   | Eternity         | 6  | 3 - 3 | Yes     | 9,485,044
482   | 634   | 검은고양이            | 12  | 3 - 3 | Yes     | 9,407,504
483   | 372   | KG               | 9  | 3 - 3 | Yes     | 9,402,038
484   | 334   | #Junkies         | 5  | 3 - 3 | Yes     | 9,394,041
485   | 336   | ISEKAI           | 8  | 3 - 3 | Yes     | 9,333,818
486   | 528   | Grimms_Requiem   | 4  | 4 - 2 | Yes     | 9,302,576
487   | 613   | Nordic           | 5  | 3 - 3 | Yes     | 9,296,941
488   | 649   | Rikone           | 6  | 3 - 3 | Yes     | 9,294,882
489   | 621   | AVARITIA         | 11  | 4 - 2 | Yes     | 9,291,617
490   | 638   | eggheads         | 10  | 3 - 3 | Yes     | 9,260,953
491   | 463   | BulbGang         | 11  | 4 - 2 | Yes     | 9,241,307
492   | 615   | SpLAT            | 7  | 4 - 2 | Yes     | 9,224,528
493   | 584   | YoRHa            | 8  | 4 - 2 | Yes     | 9,209,023
494   | 492   | NazarickⓈ        | 8  | 2 - 4 | Yes     | 9,185,223
495   | 565   | Arcarum          | 6  | 4 - 2 | Yes     | 9,180,825
496   | 633   | Forsaken         | 8  | 4 - 2 | Yes     | 9,180,345
497   | 568   | SinoPake         | 8  | 4 - 2 | Yes     | 9,151,599
498   | 472   | Knightmare       | 9  | 3 - 3 | Yes     | 9,150,984
499   | 558   | Fairy            | 1  | 4 - 2 | Yes     | 9,147,124
500   | 365   | Malice           | 11  | 3 - 3 | Yes     | 9,146,206
501   | 569   | OBDS             | 4  | 3 - 3 | Yes     | 9,143,235
502   | 369   | Absolution       | 3  | 3 - 3 | Yes     | 9,136,107
503   | 443   | Daylight         | 5  | 2 - 4 | Yes     | 9,129,678
504   | 605   | Blargh!          | 4  | 3 - 3 | Yes     | 9,127,588
505   | 557   | Apricity         | 10  | 4 - 2 | Yes     | 9,120,432
506   | 379   | Eorzeans         | 10  | 2 - 4 | Yes     | 9,096,581
507   | 626   | Fate             | 3  | 4 - 2 | Yes     | 9,095,723
508   | 609   | Ram☆Ranch        | 4  | 3 - 3 | Yes     | 9,092,235
509   | 460   | Sanctum          | 3  | 3 - 3 | Yes     | 9,066,283
510   | 395   | SomePP           | 1  | 3 - 3 | Yes     | 9,036,300
511   | 376   | SINoYOKO         | 5  | 3 - 3 | Yes     | 9,022,992
512   | 501   | Scythe           | 4  | 3 - 3 | Yes     | 9,012,580
513   | 456   | CatCafé          | 5  | 3 - 3 | Yes     | 9,012,435
514   | 371   | Alice            | 1  | 3 - 3 | Yes     | 9,003,919
515   | 453   | Märchen          | 4  | 3 - 3 | Yes     | 8,997,108
516   | 359   | Noobs            | 9  | 3 - 3 | Yes     | 8,993,546
517   | 629   | Beastars         | 3  | 4 - 2 | Yes     | 8,991,043
518   | 427   | SinoSG           | 12  | 3 - 3 | Yes     | 8,981,569
519   | 524   | Jelly            | 13  | 4 - 2 | Yes     | 8,973,161
520   | 593   | YoRHa            | 9  | 4 - 2 | Yes     | 8,972,730
521   | 603   | España           | 5  | 4 - 2 | Yes     | 8,968,855
522   | 623   | FGOSimps         | 9  | 3 - 3 | Yes     | 8,966,027
523   | 414   | Nightfall        | 12  | 3 - 3 | Yes     | 8,955,527
524   | 449   | BlackFeathers    | 7  | 3 - 3 | Yes     | 8,951,225
525   | 439   | RedQueen         | 3  | 3 - 3 | Yes     | 8,944,581
526   | 514   | ϟNeverland       | 1  | 3 - 3 | Yes     | 8,929,450
527   | 632   | Mangifera†Indica | 5  | 3 - 3 | Yes     | 8,916,477
528   | 624   | Kyushi           | 1  | 3 - 3 | Yes     | 8,892,841
529   | 381   | TheBeans         | 7  | 3 - 3 | Yes     | 8,889,353
530   | 421   | Nazarick         | 7  | 3 - 3 | Yes     | 8,885,179
531   | 598   | Sylaise          | 4  | 3 - 3 | Yes     | 8,874,005
532   | 616   | REPL:EVER        | 13  | 3 - 3 | Yes     | 8,856,102
533   | 429   | Outliers         | 8  | 3 - 3 | Yes     | 8,847,059
534   | 636   | Nekoship         | 13  | 4 - 2 | Yes     | 8,841,332
535   | 498   | YoRHa            | 13  | 2 - 4 | Yes     | 8,833,688
536   | 422   | •FurrosTulOnes•  | 8  | 2 - 4 | Yes     | 8,830,573
537   | 425   | Hololive         | 9  | 3 - 3 | Yes     | 8,824,375
538   | 388   | KooNest          | 2  | 3 - 3 | Yes     | 8,821,741
539   | 596   | Manaos           | 9  | 4 - 2 | Yes     | 8,819,957
540   | 490   | RE:CDE           | 8  | 2 - 4 | Yes     | 8,777,781
541   | 462   | Sidonia          | 8  | 3 - 3 | Yes     | 8,763,039
542   | 572   | NW               | 8  | 3 - 3 | Yes     | 8,726,593
543   | 446   | SUNSET.R         | 7  | 3 - 3 | Yes     | 8,719,980
544   | 612   | S.E.E.S.         | 1  | 3 - 3 | Yes     | 8,719,273
545   | 419   | Pendraig         | 11  | 3 - 3 | Yes     | 8,711,373
546   | 420   | Pleiades         | 10  | 2 - 4 | Yes     | 8,710,472
547   | 607   | Alter            | 8  | 4 - 2 | Yes     | 8,705,566
548   | 416   | PhantomRoad      | 1  | 4 - 2 | Yes     | 8,703,002
549   | 647   | FaE              | 1  | 3 - 3 | Yes     | 8,686,143
550   | 459   | Ex-YorHa         | 7  | 3 - 3 | Yes     | 8,683,443
551   | 418   | Arrogance        | 10  | 4 - 2 | Yes     | 8,661,369
552   | 564   | Scriptor         | 4  | 3 - 3 | Yes     | 8,660,043
553   | 432   | KuroiUta         | 3  | 4 - 2 | Yes     | 8,632,762
554   | 646   |                  | 11  | 4 - 2 | Yes     | 8,619,300
555   | 430   | Kwassont         | 9  | 4 - 2 | Yes     | 8,570,145
556   | 476   | Gestalt          | 3  | 3 - 3 | Yes     | 8,553,524
557   | 585   | YoRHa            | 4  | 4 - 2 | Yes     | 8,506,680
558   | 428   | Pudding          | 6  | 3 - 3 | Yes     | 8,504,540
559   | 454   | Charlemagne      | 4  | 3 - 3 | Yes     | 8,488,102
560   | 500   | [γк]Yukiri       | 9  | 3 - 3 | Yes     | 8,477,779
561   | 644   | Grimoire         | 4  | 3 - 3 | Yes     | 8,473,147
562   | 541   | Swordboy         | 10  | 3 - 3 | Yes     | 8,471,577
563   | 447   | Liebrary         | 4  | 3 - 3 | Yes     | 8,469,905
564   | 458   | Vigrior          | 13  | 4 - 2 | Yes     | 8,457,113
565   | 534   | SINoLAVI         | 7  | 3 - 3 | Yes     | 8,451,055
566   | 445   | S.E.A            | 13  | 3 - 3 | Yes     | 8,442,295
567   | 473   | SAVAGE           | 10  | 3 - 3 | Yes     | 8,366,803
568   | 437   | Persona          | 8  | 3 - 3 | Yes     | 8,355,352
569   | 645   | PizzaTime        | 9  | 4 - 2 | Yes     | 8,349,680
570   | 433   | BlackAtlas       | 5  | 4 - 2 | Yes     | 8,335,786
571   | 611   | TamagoClub       | 12  | 4 - 2 | Yes     | 8,321,870
572   | 486   | LaPalourdeSalée  | 3  | 3 - 3 | Yes     | 8,306,978
573   | 542   | Lancaster        | 13  | 3 - 3 | Yes     | 8,299,452
574   | 552   | Skögul           | 6  | 2 - 4 | Yes     | 8,279,557
575   | 493   | Tenshura         | 5  | 3 - 3 | Yes     | 8,261,044
576   | 547   | ProjectD         | 5  | 3 - 3 | Yes     | 8,190,958
577   | 503   | หิวข้าว          | 12  | 3 - 3 | Yes     | 8,184,031
578   | 520   | Crypters         | 9  | 3 - 3 | Yes     | 8,179,026
579   | 478   | Memories         | 1  | 3 - 3 | Yes     | 8,172,658
580   | 579   | Re;Quest         | 8  | 3 - 3 | Yes     | 8,172,441
581   | 495   | •WNDRLND•        | 10  | 3 - 3 | Yes     | 8,158,524
582   | 465   | Sin              | 10  | 3 - 3 | Yes     | 8,149,949
583   | 464   | Thighdeology     | 10  | 3 - 3 | Yes     | 8,113,081
584   | 518   | CBTXNTR          | 11  | 3 - 3 | Yes     | 8,079,796
585   | 496   | 『Nєχυѕ』          | 8  | 3 - 3 | Yes     | 8,077,509
586   | 559   | Yamete_Kudasai!! | 8  | 3 - 3 | Yes     | 8,042,467
587   | 597   | Twilight         | 4  | 2 - 4 | Yes     | 8,023,327
588   | 479   | Wantasm          | 8  | 3 - 3 | Yes     | 8,016,013
589   | 583   | aHRoYoRHa        | 9  | 2 - 4 | Yes     | 7,951,148
590   | 575   | Nyanpasu         | 6  | 3 - 3 | Yes     | 7,948,018
591   | 591   | Discord          | 4  | 3 - 3 | Yes     | 7,909,620
592   | 651   | TheBunker        | 9  | 2 - 4 | Yes     | 7,903,077
593   | 652   | GudaGuda         | 7  | 3 - 3 | Yes     | 7,897,198
594   | 517   | CIIC             | 10  | 2 - 4 | Yes     | 7,863,716
595   | 653   | CIIC             | 10  | 2 - 4 | Yes     | 7,863,716
596   | 654   | Xel'Naga         | 8  | 3 - 3 | Yes     | 7,862,730
597   | 628   | kokoron          | 9  | 2 - 4 | Yes     | 7,850,501
598   | 655   | kokoron          | 9  | 2 - 4 | Yes     | 7,850,501
599   | 656   | Jokers           | 12  | 3 - 3 | Yes     | 7,843,410
600   | 657   | Umbra            | 5  | 4 - 2 | Yes     | 7,838,788
601   | 561   | Atellux          | 10  | 3 - 3 | Yes     | 7,838,340
602   | 658   | Atellux          | 10  | 3 - 3 | Yes     | 7,838,340
603   | 488   | CrimsonButterfly | 6  | 4 - 2 | Yes     | 7,835,681
604   | 659   | CrimsonButterfly | 6  | 4 - 2 | Yes     | 7,835,681
605   | 660   | Daydreamer       | 1  | 4 - 2 | Yes     | 7,812,156
606   | 523   | Eg.g.            | 7  | 3 - 3 | Yes     | 7,812,039
607   | 661   | Eg.g.            | 7  | 3 - 3 | Yes     | 7,812,039
608   | 662   | Moonlit          | 11  | 3 - 3 | Yes     | 7,808,147
609   | 610   | Dreamers         | 5  | 3 - 3 | Yes     | 7,775,880
610   | 663   | Dreamers         | 5  | 3 - 3 | Yes     | 7,775,880
611   | 664   | Arcana           | 12  | 4 - 2 | Yes     | 7,773,952
612   | 508   | Sankta           | 9  | 3 - 3 | Yes     | 7,762,349
613   | 665   | Sankta           | 9  | 3 - 3 | Yes     | 7,762,349
614   | 666   | Quetzalcóatl     | 8  | 3 - 3 | Yes     | 7,736,595
615   | 539   | Gatorland        | 4  | 3 - 3 | Yes     | 7,730,719
616   | 667   | Gatorland        | 4  | 3 - 3 | Yes     | 7,730,719
617   | 668   | NASA             | 5  | 3 - 3 | Yes     | 7,723,950
618   | 527   | Phase            | 6  | 2 - 4 | Yes     | 7,716,769
619   | 669   | Phase            | 6  | 2 - 4 | Yes     | 7,716,769
620   | 580   | Penumbra         | 5  | 3 - 3 | Yes     | 7,714,058
621   | 670   | Penumbra         | 5  | 3 - 3 | Yes     | 7,714,058
622   | 671   | Flandore         | 12  | 3 - 3 | Yes     | 7,696,132
623   | 504   | MomPasta         | 13  | 4 - 2 | Yes     | 7,692,915
624   | 672   | MomPasta         | 13  | 4 - 2 | Yes     | 7,692,915
625   | 600   | Yubi             | 4  | 2 - 4 | Yes     | 7,668,493
626   | 673   | Yubi             | 4  | 2 - 4 | Yes     | 7,668,493
627   | 553   | Chariot          | 13  | 3 - 3 | Yes     | 7,662,064
628   | 674   | Chariot          | 13  | 3 - 3 | Yes     | 7,662,064
629   | 511   | GrandAvalon      | 9  | 3 - 3 | Yes     | 7,650,763
630   | 675   | GrandAvalon      | 9  | 3 - 3 | Yes     | 7,650,763
631   | 676   | Phets            | 1  | 3 - 3 | Yes     | 7,643,850
632   | 529   | 『MiSFiTS』        | 12  | 3 - 3 | Yes     | 7,637,525
633   | 677   | 『MiSFiTS』        | 12  | 3 - 3 | Yes     | 7,637,525
634   | 543   | Genesis          | 3  | 3 - 3 | Yes     | 7,635,523
635   | 678   | Genesis          | 3  | 3 - 3 | Yes     | 7,635,523
636   | 521   | Aeternum         | 1  | 3 - 3 | Yes     | 7,634,872
637   | 679   | Aeternum         | 1  | 3 - 3 | Yes     | 7,634,872
638   | 680   | BOATcord         | 9  | 4 - 2 | Yes     | 7,623,402
639   | 681   | AYAYA            | 12  | 4 - 2 | Yes     | 7,621,102
640   | 545   | DayBreak         | 8  | 3 - 3 | Yes     | 7,613,396
641   | 682   | DayBreak         | 8  | 3 - 3 | Yes     | 7,613,396
642   | 683   | Légion           | 5  | 3 - 3 | Yes     | 7,607,011
643   | 567   | YoRHa            | 5  | 3 - 3 | Yes     | 7,603,064
644   | 684   | YoRHa            | 5  | 3 - 3 | Yes     | 7,603,064
645   | 562   | BlackBox         | 4  | 2 - 4 | Yes     | 7,595,994
646   | 685   | BlackBox         | 4  | 2 - 4 | Yes     | 7,595,994
647   | 686   | ADIX             | 13  | 2 - 4 | Yes     | 7,577,300
648   | 536   | YoRHa~           | 5  | 3 - 3 | Yes     | 7,570,029
649   | 687   | YoRHa~           | 5  | 3 - 3 | Yes     | 7,570,029
650   | 688   | Authors          | 7  | 3 - 3 | Yes     | 7,569,257
651   | 556   | Glory            | 1  | 3 - 3 | Yes     | 7,565,761
652   | 689   | Glory            | 1  | 3 - 3 | Yes     | 7,565,761
653   | 690   | YoRHa            | 7  | 3 - 3 | Yes     | 7,562,908
654   | 525   | RedHand          | 6  | 4 - 2 | Yes     | 7,554,376
655   | 691   | RedHand          | 6  | 4 - 2 | Yes     | 7,554,376
656   | 692   | Coup-D'état      | 3  | 3 - 3 | Yes     | 7,520,144
657   | 693   | SINoArc          | 13  | 4 - 2 | Yes     | 7,510,560
658   | 694   | FGO              | 6  | 4 - 2 | Yes     | 7,493,558
659   | 582   | 끓는무쇠솥            | 13  | 3 - 3 | Yes     | 7,491,815
660   | 695   | 끓는무쇠솥            | 13  | 3 - 3 | Yes     | 7,491,815
661   | 531   | WitchesTheater   | 10  | 3 - 3 | Yes     | 7,479,164
662   | 696   | WitchesTheater   | 10  | 3 - 3 | Yes     | 7,479,164
663   | 548   | Glace            | 7  | 3 - 3 | Yes     | 7,456,388
664   | 697   | Glace            | 7  | 3 - 3 | Yes     | 7,456,388
665   | 592   | Oblivion         | 10  | 3 - 3 | Yes     | 7,424,938
666   | 698   | Oblivion         | 10  | 3 - 3 | Yes     | 7,424,938
667   | 699   | FemBoys          | 2  | 3 - 3 | Yes     | 7,421,003
668   | 540   | YoRHa            | 2  | 3 - 3 | Yes     | 7,414,436
669   | 700   | YoRHa            | 2  | 3 - 3 | Yes     | 7,414,436
670   | 701   | /alter/          | 5  | 3 - 3 | Yes     | 7,407,600
671   | 702   | Re:[W]rite       | 10  | 4 - 2 | Yes     | 7,405,917
672   | 641   | Facade           | 7  | 3 - 3 | Yes     | 7,404,566
673   | 703   | Facade           | 7  | 3 - 3 | Yes     | 7,404,566
674   | 704   | Gestalt          | 5  | 3 - 3 | Yes     | 7,397,500
675   | 705   | ｕｗｕ♡ｔｏｗｎ         | 5  | 3 - 3 | Yes     | 7,384,695
676   | 578   | 모히또              | 12  | 3 - 3 | Yes     | 7,382,641
677   | 706   | 모히또              | 12  | 3 - 3 | Yes     | 7,382,641
678   | 707   | 바나나우유            | 13  | 2 - 4 | Yes     | 7,380,514
679   | 588   | Anxiety          | 11  | 3 - 3 | Yes     | 7,375,812
680   | 708   | Anxiety          | 11  | 3 - 3 | Yes     | 7,375,812
681   | 709   | Fearless         | 5  | 3 - 3 | Yes     | 7,336,108
682   | 710   | WildCard         | 5  | 2 - 4 | Yes     | 7,325,512
683   | 570   | Rihla            | 12  | 3 - 3 | Yes     | 7,320,440
684   | 711   | Rihla            | 12  | 3 - 3 | Yes     | 7,320,440
685   | 712   | YoRHa            | 10  | 3 - 3 | Yes     | 7,317,657
686   | 713   | Aureus           | 10  | 3 - 3 | Yes     | 7,308,335
687   | 714   | Fabled           | 5  | 3 - 3 | Yes     | 7,294,417
688   | 560   | UNITERA          | 9  | 3 - 3 | Yes     | 7,289,969
689   | 715   | UNITERA          | 9  | 3 - 3 | Yes     | 7,289,969
690   | 590   | Wonders          | 3  | 3 - 3 | Yes     | 7,289,901
691   | 716   | Wonders          | 3  | 3 - 3 | Yes     | 7,289,901
692   | 563   | 4Fun             | 11  | 3 - 3 | Yes     | 7,287,496
693   | 717   | 4Fun             | 11  | 3 - 3 | Yes     | 7,287,496
694   | 718   | 은밀한침대밑           | 12  | 4 - 2 | Yes     | 7,283,156
695   | 719   | Oath             | 5  | 3 - 3 | Yes     | 7,282,291
696   | 720   | [SPC]            | 6  | 3 - 3 | Yes     | 7,277,108
697   | 721   | Magikarp         | 9  | 3 - 3 | Yes     | 7,266,945
698   | 722   | KoNoKEKsuAL      | 12  | 4 - 2 | Yes     | 7,264,725
699   | 723   | CosmoCon         | 4  | 3 - 3 | Yes     | 7,256,655
700   | 724   | Trapnest         | 5  | 3 - 3 | Yes     | 7,254,466
701   | 725   | NieR             | 1  | 3 - 3 | Yes     | 7,237,727
702   | 726   | Foxhound         | 12  | 4 - 2 | Yes     | 7,213,345
703   | 594   | Valkyrie         | 8  | 3 - 3 | Yes     | 7,211,980
704   | 727   | Valkyrie         | 8  | 3 - 3 | Yes     | 7,211,980
705   | 728   | Rebuild_3.0+1.0  | 9  | 3 - 3 | Yes     | 7,210,694
706   | 642   | Dantalion        | 1  | 3 - 3 | Yes     | 7,207,291
707   | 729   | Dantalion        | 1  | 3 - 3 | Yes     | 7,207,291
708   | 730   | Gestalt          | 9  | 3 - 3 | Yes     | 7,204,248
709   | 731   | Astraea          | 4  | 4 - 2 | Yes     | 7,195,871
710   | 648   | NTHRWRLD         | 3  | 3 - 3 | Yes     | 7,188,543
711   | 732   | NTHRWRLD         | 3  | 3 - 3 | Yes     | 7,188,543
712   | 604   | Seikatsu         | 6  | 2 - 4 | Yes     | 7,183,440
713   | 733   | Seikatsu         | 6  | 2 - 4 | Yes     | 7,183,440
714   | 630   | KAR              | 5  | 3 - 3 | Yes     | 7,182,391
715   | 734   | KAR              | 5  | 3 - 3 | Yes     | 7,182,391
716   | 735   | Anime4Life       | 4  | 3 - 3 | Yes     | 7,180,381
717   | 631   | Alchemia         | 11  | 3 - 3 | Yes     | 7,175,698
718   | 736   | Alchemia         | 11  | 3 - 3 | Yes     | 7,175,698
719   | 618   | Abyss            | 9  | 2 - 4 | Yes     | 7,174,455
720   | 737   | Abyss            | 9  | 2 - 4 | Yes     | 7,174,455
721   | 608   | Intoners         | 3  | 3 - 3 | Yes     | 7,173,921
722   | 738   | Intoners         | 3  | 3 - 3 | Yes     | 7,173,921
723   | 606   | Procella         | 6  | 3 - 3 | Yes     | 7,163,446
724   | 739   | Procella         | 6  | 3 - 3 | Yes     | 7,163,446
725   | 740   | Astra            | 4  | 3 - 3 | Yes     | 7,163,303
726   | 617   | IndoSin          | 13  | 3 - 3 | Yes     | 7,159,936
727   | 741   | IndoSin          | 13  | 3 - 3 | Yes     | 7,159,936
